Structure_Name                             NVox          BP         R^2        Intc
Cerebellum-White-Matter                   28304      0.3013      0.9998    -13.5128
Cerebellum-Cortex                         99802      0.0001      1.0000     -6.2498
Thalamus-Proper                           13581      0.3135      0.9999     -6.5632
Caudate                                    8007     -0.0433      0.9849    -12.8169
Putamen                                   12299      0.2035      0.9998     -5.4330
Pallidum                                   3112      0.3242      0.9992     -7.1581
Hippocampus                                8887      0.0758      0.9987    -10.9585
Amygdala                                   3210      0.0042      0.9988     -6.3076
Accumbens-area                             1244      0.0354      0.9980     -6.4187
Substancia-Nigra                              0      0.0000      0.0000      0.0000
VentralDC                                  7712      0.3445      0.9996     -9.2959
choroid-plexus                             3279     -0.2104      0.9926    -15.2261
Brain-Stem                                18861      0.3376      0.9994    -12.6991
CC_Posterior                               1200      0.2271      0.9871    -18.3707
CC_Mid_Posterior                            386      0.2917      0.9646    -24.0299
CC_Central                                  463      0.0890      0.9208    -10.8021
CC_Mid_Anterior                             477      0.1368      0.9760    -13.3769
CC_Anterior                                 950      0.2016      0.9810    -19.1601
ctx-bankssts                               4880      0.0662      0.9991     -8.1197
ctx-caudalanteriorcingulate                3520      0.1033      0.9995     -5.6229
ctx-caudalmiddlefrontal                    9501     -0.0101      0.9995     -9.2080
ctx-corpuscallosum                            0      0.0000      0.0000      0.0000
ctx-cuneus                                 5927      0.0483      0.9978     -9.1510
ctx-entorhinal                             3710      0.0874      0.9965     -8.6845
ctx-fusiform                              17460      0.0753      0.9997    -10.0451
ctx-inferiorparietal                      23711      0.0209      0.9998     -9.3689
ctx-inferiortemporal                      20692      0.0033      0.9997     -8.1996
ctx-isthmuscingulate                       3948      0.1256      0.9980    -10.9676
ctx-lateraloccipital                      19158      0.0159      0.9989    -10.5666
ctx-lateralorbitofrontal                  12281      0.1880      0.9988    -11.3960
ctx-lingual                               12453     -0.0062      0.9997     -7.7833
ctx-medialorbitofrontal                    8211      0.0409      0.9997     -8.5695
ctx-middletemporal                        20016     -0.0503      0.9999     -7.0099
ctx-parahippocampal                        3777      0.0530      0.9991     -8.3426
ctx-paracentral                            6082      0.1345      0.9994     -9.3607
ctx-parsopercularis                        7626      0.0574      0.9996     -7.3521
ctx-parsorbitalis                          4750      0.1140      0.9987     -8.2543
ctx-parstriangularis                       7789      0.0243      0.9996    -10.9360
ctx-pericalcarine                          4143      0.0305      0.9987     -8.1958
ctx-postcentral                           16280      0.0134      0.9997     -9.9115
ctx-posteriorcingulate                     5040      0.1120      0.9994     -7.6031
ctx-precentral                            20744      0.0286      0.9997     -9.4220
ctx-precuneus                             15964      0.0648      0.9996     -9.2936
ctx-rostralanteriorcingulate               4267      0.1185      0.9984     -8.6882
ctx-rostralmiddlefrontal                  25102     -0.0946      0.9999     -7.3626
ctx-superiorfrontal                       36187     -0.0219      0.9998     -9.8541
ctx-superiorparietal                      24809      0.0479      0.9999    -11.1005
ctx-superiortemporal                      21381     -0.0817      0.9998     -7.5574
ctx-supramarginal                         20604      0.0096      0.9997     -9.3761
ctx-frontalpole                            1784     -0.1011      0.9946     -6.2656
ctx-temporalpole                           3886     -0.1317      0.9992     -6.4757
ctx-transversetemporal                     1739      0.0336      0.9998     -3.5347
ctx-insula                                11846      0.0836      0.9999     -7.6108
UnsegmentedWhiteMatter                    49715      0.4103      0.9986    -23.5976
wm-bankssts                                5513      0.2599      0.9938    -17.1889
wm-caudalanteriorcingulate                 4969      0.2999      0.9837    -15.9297
wm-caudalmiddlefrontal                     9595      0.3826      0.9977    -16.9817
wm-corpuscallosum                             0      0.0000      0.0000      0.0000
wm-cuneus                                  4202      0.1099      0.9953    -11.5581
wm-entorhinal                              1166      0.1196      0.9964     -7.6843
wm-fusiform                               11871      0.1712      0.9965    -17.5502
wm-inferiorparietal                       18940      0.2191      0.9989    -16.7001
wm-inferiortemporal                       10485      0.1580      0.9976    -15.2133
wm-isthmuscingulate                        5479      0.2256      0.9966    -17.8228
wm-lateraloccipital                       16255      0.1979      0.9969    -17.5836
wm-lateralorbitofrontal                   12291      0.3670      0.9981    -18.9146
wm-lingual                                 9696      0.0366      0.9986    -10.8938
wm-medialorbitofrontal                     6501      0.1820      0.9989    -13.0538
wm-middletemporal                          8281      0.1066      0.9990    -10.6988
wm-parahippocampal                         2804      0.1050      0.9993     -9.4653
wm-paracentral                             6030      0.3229      0.9979    -17.7116
wm-parsopercularis                         6138      0.2682      0.9990    -13.1527
wm-parsorbitalis                           1839      0.2794      0.9989    -12.6355
wm-parstriangularis                        6296      0.3489      0.9962    -17.5456
wm-pericalcarine                           6603      0.1208      0.9959    -16.4379
wm-postcentral                            13200      0.2420      0.9988    -13.4407
wm-posteriorcingulate                      7963      0.2502      0.9954    -16.1278
wm-precentral                             20749      0.3537      0.9993    -16.1583
wm-precuneus                              16145      0.2493      0.9974    -19.4197
wm-rostralanteriorcingulate                4169      0.2233      0.9955    -15.1064
wm-rostralmiddlefrontal                   21194      0.2801      0.9995    -12.9198
wm-superiorfrontal                        29384      0.3359      0.9991    -15.2513
wm-superiorparietal                       22089      0.2382      0.9993    -16.4478
wm-superiortemporal                       10704      0.1058      0.9997    -10.1079
wm-supramarginal                          14784      0.2806      0.9975    -17.1405
wm-frontalpole                              578      0.1448      0.9951     -8.3165
wm-temporalpole                             953     -0.0335      0.9951     -7.3276
wm-transversetemporal                      1134      0.1359      0.9982     -6.4490
wm-insula                                 15392      0.2546      0.9999    -13.4738
GR_FS                                     20492      0.1291      0.9992    -10.2634
TEMP_FS                                   41397     -0.0665      0.9998     -7.2927
OCC_FS                                    18380      0.0114      0.9991     -8.2243
PREF_FS                                   61289     -0.0517      0.9998     -8.8337
MC                                       139142      0.0189      0.0000      0.0000
