Structure_Name                             NVox          BP         R^2        Intc
Left-Cerebellum-White-Matter              13802      0.3017      0.9997    -13.1201
Right-Cerebellum-White-Matter             14502      0.3010      0.9999    -13.8865
Left-Cerebellum-Cortex                    48930     -0.0041      1.0000     -5.6589
Right-Cerebellum-Cortex                   50872      0.0041      1.0000     -6.8182
Left-Thalamus-Proper                       6735      0.3666      0.9998     -7.6548
Right-Thalamus-Proper                      6846      0.2612      0.9999     -5.4893
Left-Caudate                               3962     -0.0184      0.9831    -10.8142
Right-Caudate                              4045     -0.0676      0.9866    -14.7786
Left-Putamen                               6382      0.2107      0.9999     -5.6935
Right-Putamen                              5917      0.1958      0.9998     -5.1520
Left-Pallidum                              1754      0.3257      0.9995     -6.9577
Right-Pallidum                             1358      0.3222      0.9987     -7.4170
Left-Hippocampus                           4632      0.0928      0.9993    -10.7433
Right-Hippocampus                          4255      0.0573      0.9981    -11.1928
Left-Amygdala                              1649      0.0184      0.9984     -7.0141
Right-Amygdala                             1561     -0.0108      0.9992     -5.5613
Left-Accumbens-area                         672      0.0665      0.9973     -8.3047
Right-Accumbens-area                        572     -0.0012      0.9988     -4.2029
Left-Substancia-Nigra                         0      0.0000      0.0000      0.0000
Right-Substancia-Nigra                        0      0.0000      0.0000      0.0000
Left-VentralDC                             3860      0.3821      0.9996    -10.5980
Right-VentralDC                            3852      0.3068      0.9996     -7.9911
Left-choroid-plexus                        1631     -0.2107      0.9905    -13.0157
Right-choroid-plexus                       1648     -0.2102      0.9947    -17.4136
Brain-Stem                                18861      0.3376      0.9994    -12.6991
CC_Posterior                               1200      0.2271      0.9871    -18.3707
CC_Mid_Posterior                            386      0.2917      0.9646    -24.0299
CC_Central                                  463      0.0890      0.9208    -10.8021
CC_Mid_Anterior                             477      0.1368      0.9760    -13.3769
CC_Anterior                                 950      0.2016      0.9810    -19.1601
ctx-lh-bankssts                            2653      0.0877      0.9989     -8.6275
ctx-rh-bankssts                            2227      0.0405      0.9994     -7.5148
ctx-lh-caudalanteriorcingulate             1712      0.1246      0.9994     -6.5236
ctx-rh-caudalanteriorcingulate             1808      0.0832      0.9995     -4.7700
ctx-lh-caudalmiddlefrontal                 4964     -0.0133      0.9994     -7.9168
ctx-rh-caudalmiddlefrontal                 4537     -0.0066      0.9997    -10.6208
ctx-lh-corpuscallosum                         0      0.0000      0.0000      0.0000
ctx-rh-corpuscallosum                         0      0.0000      0.0000      0.0000
ctx-lh-cuneus                              3223      0.0382      0.9975     -7.9361
ctx-rh-cuneus                              2704      0.0603      0.9981    -10.5991
ctx-lh-entorhinal                          1679      0.1075      0.9971     -7.5817
ctx-rh-entorhinal                          2031      0.0708      0.9960     -9.5962
ctx-lh-fusiform                            9370      0.0989      0.9997    -10.1804
ctx-rh-fusiform                            8090      0.0480      0.9998     -9.8885
ctx-lh-inferiorparietal                   10060      0.0228      0.9998     -9.8297
ctx-rh-inferiorparietal                   13651      0.0195      0.9999     -9.0294
ctx-lh-inferiortemporal                   10117     -0.0047      0.9997     -7.5547
ctx-rh-inferiortemporal                   10575      0.0109      0.9998     -8.8166
ctx-lh-isthmuscingulate                    2267      0.1457      0.9989    -11.7132
ctx-rh-isthmuscingulate                    1681      0.0985      0.9966     -9.9620
ctx-lh-lateraloccipital                   10002      0.0319      0.9983    -10.6948
ctx-rh-lateraloccipital                    9156     -0.0015      0.9995    -10.4265
ctx-lh-lateralorbitofrontal                6345      0.1922      0.9994    -11.1250
ctx-rh-lateralorbitofrontal                5936      0.1836      0.9981    -11.6856
ctx-lh-lingual                             6379      0.0107      0.9997     -8.0381
ctx-rh-lingual                             6074     -0.0239      0.9998     -7.5157
ctx-lh-medialorbitofrontal                 3827      0.1146      0.9998    -11.2598
ctx-rh-medialorbitofrontal                 4384     -0.0235      0.9997     -6.2210
ctx-lh-middletemporal                      9186     -0.1095      0.9999     -6.3079
ctx-rh-middletemporal                     10830     -0.0001      0.9999     -7.6053
ctx-lh-parahippocampal                     1826      0.0330      0.9993     -8.3662
ctx-rh-parahippocampal                     1951      0.0717      0.9990     -8.3206
ctx-lh-paracentral                         2531      0.1601      0.9991    -10.5091
ctx-rh-paracentral                         3551      0.1162      0.9997     -8.5422
ctx-lh-parsopercularis                     4318      0.0402      0.9998     -7.0548
ctx-rh-parsopercularis                     3308      0.0798      0.9994     -7.7401
ctx-lh-parsorbitalis                       2014      0.1260      0.9993     -7.9449
ctx-rh-parsorbitalis                       2736      0.1052      0.9982     -8.4821
ctx-lh-parstriangularis                    3703     -0.0285      0.9996    -10.8663
ctx-rh-parstriangularis                    4086      0.0721      0.9996    -10.9991
ctx-lh-pericalcarine                       2023      0.0714      0.9986    -11.0971
ctx-rh-pericalcarine                       2120     -0.0086      0.9988     -5.4272
ctx-lh-postcentral                         8332     -0.0087      0.9998     -9.3407
ctx-rh-postcentral                         7948      0.0365      0.9996    -10.5099
ctx-lh-posteriorcingulate                  2277      0.1130      0.9991     -6.4741
ctx-rh-posteriorcingulate                  2763      0.1111      0.9996     -8.5335
ctx-lh-precentral                         10637      0.0082      0.9999     -9.0455
ctx-rh-precentral                         10107      0.0500      0.9994     -9.8182
ctx-lh-precuneus                           8999      0.0773      0.9994     -9.8491
ctx-rh-precuneus                           6965      0.0486      0.9999     -8.5759
ctx-lh-rostralanteriorcingulate            2590      0.1393      0.9981     -9.3736
ctx-rh-rostralanteriorcingulate            1677      0.0864      0.9989     -7.6296
ctx-lh-rostralmiddlefrontal               13257     -0.1248      0.9999     -6.9007
ctx-rh-rostralmiddlefrontal               11845     -0.0607      1.0000     -7.8796
ctx-lh-superiorfrontal                    18749     -0.0293      0.9996     -9.8893
ctx-rh-superiorfrontal                    17438     -0.0139      0.9999     -9.8163
ctx-lh-superiorparietal                   11535      0.0438      0.9998    -11.1406
ctx-rh-superiorparietal                   13274      0.0514      0.9999    -11.0657
ctx-lh-superiortemporal                   11363     -0.1036      0.9997     -6.8710
ctx-rh-superiortemporal                   10018     -0.0569      0.9999     -8.3360
ctx-lh-supramarginal                      11658     -0.0209      0.9996     -8.4996
ctx-rh-supramarginal                       8946      0.0493      0.9999    -10.5184
ctx-lh-frontalpole                          786     -0.1226      0.9946     -7.4959
ctx-rh-frontalpole                          998     -0.0842      0.9946     -5.2967
ctx-lh-temporalpole                        1858     -0.0736      0.9996     -8.2545
ctx-rh-temporalpole                        2028     -0.1849      0.9989     -4.8460
ctx-lh-transversetemporal                   935      0.0685      0.9997     -3.6701
ctx-rh-transversetemporal                   804     -0.0070      0.9999     -3.3772
ctx-lh-insula                              5887      0.0865      0.9999     -7.3711
ctx-rh-insula                              5959      0.0807      0.9999     -7.8476
Left-UnsegmentedWhiteMatter               24840      0.4386      0.9990    -23.7410
Right-UnsegmentedWhiteMatter              24875      0.3821      0.9983    -23.4544
