Structure_Name                             NVox          BP         R^2        Intc
Left-Cerebellum-White-Matter              13802      0.1519      0.9997    -13.1207
Right-Cerebellum-White-Matter             14502      0.1494      0.9999    -13.8868
Left-Cerebellum-Cortex                    48930     -0.0018      1.0000     -5.6602
Right-Cerebellum-Cortex                   50872      0.0018      1.0000     -6.8192
Left-Thalamus-Proper                       6735      0.2595      0.9998     -7.6562
Right-Thalamus-Proper                      6846      0.1668      0.9999     -5.4899
Left-Caudate                               3962      0.0042      0.9832    -10.8159
Right-Caudate                              4045     -0.0403      0.9866    -14.7802
Left-Putamen                               6382      0.0662      0.9999     -5.6943
Right-Putamen                              5917      0.0537      0.9998     -5.1531
Left-Pallidum                              1754      0.1536      0.9995     -6.9585
Right-Pallidum                             1358      0.1675      0.9987     -7.4178
Left-Hippocampus                           4632      0.0000      0.9993    -10.7442
Right-Hippocampus                          4255     -0.0222      0.9980    -11.1943
Left-Amygdala                              1649     -0.0311      0.9984     -7.0152
Right-Amygdala                             1561     -0.0399      0.9992     -5.5618
Left-Accumbens-area                         672     -0.0055      0.9973     -8.3053
Right-Accumbens-area                        572     -0.0780      0.9988     -4.2031
Left-Substancia-Nigra                         0      0.0000      0.0000      0.0000
Right-Substancia-Nigra                        0      0.0000      0.0000      0.0000
Left-VentralDC                             3860      0.3076      0.9996    -10.5989
Right-VentralDC                            3852      0.2583      0.9996     -7.9922
Left-choroid-plexus                        1631      0.0298      0.9905    -13.0172
Right-choroid-plexus                       1648      0.0275      0.9947    -17.4153
Brain-Stem                                18861      0.3614      0.9994    -12.7006
CC_Posterior                               1200      0.2370      0.9871    -18.3720
CC_Mid_Posterior                            386      0.5178      0.9646    -24.0318
CC_Central                                  463      0.1961      0.9208    -10.8027
CC_Mid_Anterior                             477      0.2846      0.9760    -13.3778
CC_Anterior                                 950      0.2684      0.9810    -19.1625
ctx-lh-bankssts                            2653      0.0822      0.9989     -8.6289
ctx-rh-bankssts                            2227      0.0126      0.9994     -7.5157
ctx-lh-caudalanteriorcingulate             1712      0.2330      0.9994     -6.5252
ctx-rh-caudalanteriorcingulate             1808      0.2182      0.9995     -4.7713
ctx-lh-caudalmiddlefrontal                 4964      0.1292      0.9994     -7.9185
ctx-rh-caudalmiddlefrontal                 4537      0.1751      0.9997    -10.6231
ctx-lh-corpuscallosum                         0      0.0000      0.0000      0.0000
ctx-rh-corpuscallosum                         0      0.0000      0.0000      0.0000
ctx-lh-cuneus                              3223      0.1092      0.9975     -7.9376
ctx-rh-cuneus                              2704      0.1533      0.9980    -10.6018
ctx-lh-entorhinal                          1679      0.2726      0.9971     -7.5817
ctx-rh-entorhinal                          2031      0.2681      0.9960     -9.5977
ctx-lh-fusiform                            9370      0.1392      0.9997    -10.1820
ctx-rh-fusiform                            8090      0.0418      0.9998     -9.8907
ctx-lh-inferiorparietal                   10060      0.1460      0.9998     -9.8307
ctx-rh-inferiorparietal                   13651      0.1164      0.9999     -9.0313
ctx-lh-inferiortemporal                   10117      0.1426      0.9996     -7.5562
ctx-rh-inferiortemporal                   10575      0.1222      0.9998     -8.8179
