Structure_Name                             NVox          BP         R^2        Intc
Left-Cerebellum-White-Matter              13802      0.4498      0.9974    -19.4142
Right-Cerebellum-White-Matter             14502      0.4320      0.9991    -20.1489
Left-Cerebellum-Cortex                    48930     -0.0134      1.0000     -5.0633
Right-Cerebellum-Cortex                   50872      0.0137      1.0000     -7.4039
Left-Thalamus-Proper                       6735      0.4324      0.9995     -8.0376
Right-Thalamus-Proper                      6846      0.3017      0.9998     -5.3098
Left-Caudate                               3962     -0.0878      0.9982     -0.6907
Right-Caudate                              4045     -0.2230      1.0000      0.4439
Left-Putamen                               6382      0.1458      1.0000     -3.5233
Right-Putamen                              5917      0.1348      0.9998     -2.2370
Left-Pallidum                              1754      0.3462      0.9995     -5.0769
Right-Pallidum                             1358      0.3745      0.9984     -5.7331
Left-Hippocampus                           4632     -0.0268      0.9956     -9.8917
Right-Hippocampus                          4255     -0.0641      0.9926     -9.4442
Left-Amygdala                              1649     -0.1041      0.9975     -3.5805
Right-Amygdala                             1561     -0.1067      0.9997     -2.9161
Left-Accumbens-area                         672     -0.1329      0.9969     -0.2963
Right-Accumbens-area                        572     -0.1052      0.9999     -0.3850
Left-Substancia-Nigra                         0      0.0000      0.0000      0.0000
Right-Substancia-Nigra                        0      0.0000      0.0000      0.0000
Left-VentralDC                             3860      0.4753      0.9989    -11.8147
Right-VentralDC                            3852      0.3816      0.9993     -8.0595
Left-choroid-plexus                        1631     -0.5906      0.9893     -3.0616
Right-choroid-plexus                       1648     -0.5773      0.9391    -15.4540
Brain-Stem                                18861      0.4461      0.9985    -15.5563
CC_Posterior                               1200      0.2643      0.9630    -17.0334
CC_Mid_Posterior                            386     -0.0041      0.7655      3.6558
CC_Central                                  463      0.0414      0.9240     -0.8703
CC_Mid_Anterior                             477      0.2336      0.9734     -7.0009
CC_Anterior                                 950      0.1351      0.9247    -12.8347
ctx-lh-bankssts                            2653      0.0987      0.9997     -2.5107
ctx-rh-bankssts                            2227      0.0348      0.9998     -1.9849
ctx-lh-caudalanteriorcingulate             1712      0.2516      0.9999     -0.8232
ctx-rh-caudalanteriorcingulate             1808      0.2417      0.9998      3.1589
ctx-lh-caudalmiddlefrontal                 4964     -0.1226      0.9989      4.2667
