Structure_Name                             NVox          BP         R^2        Intc
Cerebellum-White-Matter                   28304      0.1506      0.9998    -13.5132
Cerebellum-Cortex                         99802      0.0000      1.0000     -6.2510
Thalamus-Proper                           13581      0.2128      0.9999     -6.5642
Caudate                                    8007     -0.0183      0.9849    -12.8186
Putamen                                   12299      0.0602      0.9998     -5.4339
Pallidum                                   3112      0.1597      0.9992     -7.1589
Hippocampus                                8887     -0.0106      0.9987    -10.9597
Amygdala                                   3210     -0.0354      0.9988     -6.3084
Accumbens-area                             1244     -0.0388      0.9980     -6.4191
Substancia-Nigra                              0      0.0000      0.0000      0.0000
VentralDC                                  7712      0.2830      0.9996     -9.2969
choroid-plexus                             3279      0.0286      0.9926    -15.2276
Brain-Stem                                18861      0.3614      0.9994    -12.7006
CC_Posterior                               1200      0.2370      0.9871    -18.3720
CC_Mid_Posterior                            386      0.5178      0.9646    -24.0318
CC_Central                                  463      0.1961      0.9208    -10.8027
CC_Mid_Anterior                             477      0.2846      0.9760    -13.3778
CC_Anterior                                 950      0.2684      0.9810    -19.1625
ctx-bankssts                               4880      0.0504      0.9991     -8.1209
ctx-caudalanteriorcingulate                3520      0.2254      0.9995     -5.6243
ctx-caudalmiddlefrontal                    9501      0.1511      0.9995     -9.2100
ctx-corpuscallosum                            0      0.0000      0.0000      0.0000
ctx-cuneus                                 5927      0.1293      0.9978     -9.1531
ctx-entorhinal                             3710      0.2701      0.9965     -8.6853
ctx-fusiform                              17460      0.0941      0.9997    -10.0470
ctx-inferiorparietal                      23711      0.1290      0.9998     -9.3705
ctx-inferiortemporal                      20692      0.1322      0.9997     -8.2010
ctx-isthmuscingulate                       3948      0.1660      0.9980    -10.9693
ctx-lateraloccipital                      19158      0.1404      0.9989    -10.5685
ctx-lateralorbitofrontal                  12281      0.3723      0.9988    -11.3968
ctx-lingual                               12453      0.0553      0.9997     -7.7848
ctx-medialorbitofrontal                    8211      0.2544      0.9997     -8.5703
