Structure_Name                             NVox          BP         R^2        Intc
Cerebellum-White-Matter                   28304      0.4407      0.9983    -19.7906
Cerebellum-Cortex                         99802      0.0004      1.0000     -6.2564
Thalamus-Proper                           13581      0.3665      0.9997     -6.6626
Caudate                                    8007     -0.1561      0.9991     -0.1175
Putamen                                   12299      0.1405      0.9999     -2.9045
Pallidum                                   3112      0.3585      0.9990     -5.3632
Hippocampus                                8887     -0.0447      0.9941     -9.6774
Amygdala                                   3210     -0.1054      0.9986     -3.2574
Accumbens-area                             1244     -0.1202      0.9983     -0.3371
Substancia-Nigra                              0      0.0000      0.0000      0.0000
VentralDC                                  7712      0.4285      0.9991     -9.9390
choroid-plexus                             3279     -0.5839      0.9640     -9.2899
Brain-Stem                                18861      0.4461      0.9985    -15.5563
CC_Posterior                               1200      0.2643      0.9630    -17.0334
CC_Mid_Posterior                            386     -0.0041      0.7655      3.6558
CC_Central                                  463      0.0414      0.9240     -0.8703
CC_Mid_Anterior                             477      0.2336      0.9734     -7.0009
CC_Anterior                                 950      0.1351      0.9247    -12.8347
ctx-bankssts                               4880      0.0695      0.9997     -2.2707
ctx-caudalanteriorcingulate                3520      0.2465      0.9999      1.2222
ctx-caudalmiddlefrontal                    9501     -0.0870      0.9994      1.1917
ctx-corpuscallosum                            0      0.0000      0.0000      0.0000
ctx-cuneus                                 5927      0.1974      0.9943     -4.2134
ctx-entorhinal                             3710      0.2430      0.9915     -6.1732
ctx-fusiform                              17460      0.1467      0.9995     -6.3507
ctx-inferiorparietal                      23711      0.0960      0.9998     -3.0237
ctx-inferiortemporal                      20692      0.0991      0.9999     -2.6528
ctx-isthmuscingulate                       3948      0.1875      0.9952     -3.7191
ctx-lateraloccipital                      19158      0.1597      0.9995     -4.4872
ctx-lateralorbitofrontal                  12281      0.3582      0.9992     -5.2257
ctx-lingual                               12453      0.1179      0.9992     -3.3927
ctx-medialorbitofrontal                    8211      0.1614      0.9994     -2.0195
ctx-middletemporal                        20016     -0.0329      0.9997     -2.4248
ctx-parahippocampal                        3777      0.0761      0.9965     -5.2874
ctx-paracentral                            6082      0.3348      0.9994     -3.5410
ctx-parsopercularis                        7626      0.1342      0.9999     -0.7820
ctx-parsorbitalis                          4750      0.3668      0.9992     -3.2525
ctx-parstriangularis                       7789      0.0073      0.9993     -0.6776
