Structure_Name                             NVox        SUVR
Left-Cerebellum-White-Matter              13802      1.3620
Right-Cerebellum-White-Matter             14502      1.3555
Left-Cerebellum-Cortex                    48930      0.9973
Right-Cerebellum-Cortex                   50872      1.0026
Left-Thalamus-Proper                       6735      1.3787
Right-Thalamus-Proper                      6846      1.2506
Left-Caudate                               3962      1.1137
Right-Caudate                              4045      0.9669
Left-Putamen                               6382      1.1124
Right-Putamen                              5917      1.0963
Left-Pallidum                              1754      1.3263
Right-Pallidum                             1358      1.4126
Left-Hippocampus                           4632      1.1548
Right-Hippocampus                          4255      1.1070
Left-Amygdala                              1649      1.0984
Right-Amygdala                             1561      1.1190
Left-Accumbens-area                         672      0.9992
Right-Accumbens-area                        572      0.9771
Left-Substancia-Nigra                         0      0.0000
Right-Substancia-Nigra                        0      0.0000
Left-VentralDC                             3860      1.5370
Right-VentralDC                            3852      1.5016
Left-choroid-plexus                        1631      1.3880
Right-choroid-plexus                       1648      1.3007
Brain-Stem                                18861      1.6111
CC_Posterior                               1200      1.6208
CC_Mid_Posterior                            386      1.6139
CC_Central                                  463      1.7082
CC_Mid_Anterior                             477      1.7028
CC_Anterior                                 950      1.5918
ctx-lh-bankssts                            2653      1.1374
ctx-rh-bankssts                            2227      1.0823
ctx-lh-caudalanteriorcingulate             1712      1.3021
ctx-rh-caudalanteriorcingulate             1808      1.2304
ctx-lh-caudalmiddlefrontal                 4964      1.1700
ctx-rh-caudalmiddlefrontal                 4537      1.2241
ctx-lh-corpuscallosum                         0      0.0000
ctx-rh-corpuscallosum                         0      0.0000
ctx-lh-cuneus                              3223      1.1181
ctx-rh-cuneus                              2704      1.0901
ctx-lh-entorhinal                          1679      1.4404
ctx-rh-entorhinal                          2031      1.3800
ctx-lh-fusiform                            9370      1.1830
ctx-rh-fusiform                            8090      1.0772
ctx-lh-inferiorparietal                   10060      1.1712
ctx-rh-inferiorparietal                   13651      1.1642
ctx-lh-inferiortemporal                   10117      1.2043
ctx-rh-inferiortemporal                   10575      1.1711
ctx-lh-isthmuscingulate                    2267      1.2668
ctx-rh-isthmuscingulate                    1681      1.2465
ctx-lh-lateraloccipital                   10002      1.2258
ctx-rh-lateraloccipital                    9156      1.1841
ctx-lh-lateralorbitofrontal                6345      1.4768
ctx-rh-lateralorbitofrontal                5936      1.5461
